changeFrom,changeTo,first,last
Rad_short_Dn_Avg,Rad_long_Up__Avg,2007-06-05 17:00,2007-11-20 16:30
Rad_long_Up__Avg,Rad_short_Dn_Avg,2007-06-05 17:00,2007-11-20 16:30
